23855999000580,"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith"
23855999000660,"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith"
23855999000741,"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith"
23855999000822,"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith"
23855999001047,"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith"
24176801000170,"DELÍRIO GALEÃO S.A.","DELÍRIO TROPICAL"
24231262000125,"MAX GALEAO DOMESTICO LTDA - EPP","TRACK & FIELD"
24241187000183,"MAX GALEAO INTERNACIONAL LTDA - EPP","TRACK & FIELD"
24271875000196,"B2FD FAST FOOD EILERI - EPP","SUBWAY"
24271920000102,"B2FI FAST FOOD LTDA","SUBWAY"
24293604000131,"LEITURA RIO GALEÃO COMERCIO DE LIVROS LTDA","LEITURA RIO COMERCIO DE LIVROS LTDA"
24293604000212,"LEITURA RIO GALEÃO COMERCIO DE LIVROS LTDA","LEITURA RIO COMERCIO DE LIVROS LTDA"
24315712000168,"DELICIA ORGANICA RESTAURANTE E LANCHONETE EIRELE - EPP","REI DO MATE"
24315817000117,"SOBRAL FOODS COMERCIO DE ALIMENTOS EIRELI EPP","GIRAFFAS"
24327489000179,"PALAPHITA EEDEN BAR E RESTAURANTE LTDA","PALAPHITA"
24405234000187,"PALADAR NACIONAL RESTAURANTE E LANCHONETE EIRELES - EPP","REI DO MATE"
24474489000100,"MADU CHOCOLATE CAFÉ EIRELE - EPP","HAVANNA FLAGSHIP"
24635760000133,"BOLA SPORTS COMERCIO DE VESTUARIO E ARTIGOS ESPORTIVOS","BOLA SHOW"
24635760000303,"BOLA SPORTS COMERCIO DE VESTUARIO E ARTIGOS ESPORTIVOS","BOLA SHOW"
25108539000190,"ATUALIDADES ROUPAS E ACESSÓRIOS EIRELI - ME","BRASIL RIO"
25134822000196,"MEGA AERO 01 LANCHONETE EIRELI - ME","MEGAMATTE"
25196519000118,"TGKLM ALIMENTOS EIRELI","PICCOLA BY MAMMA JAMMA"
25269221000190,"SOBRAL ALIMENTOS E REFEICOES EIRELI - EPP","DIVINO FOGÃO"
25328767000175,"M2D2F COMERCIO DE ALIMENTOS","TAPÍ TAPIOCA"
25328767000256,"M2D2F COMERCIO DE ALIMENTOS","TAPÍ TAPIOCA"
25447297000169,"MC & MV COMERCIO DE ALIMENTOS LTDA - EPP","HARAD"
26065297000167,"SKILLED REPRESENTAÇÕES COMERCIAIS LTDA","SKILL SIM"
26201397000173,"ARTY DESIGN COMÉRCIO VAREJISTA LTDA - ME","ARTY RIO"
26230002000160,"SUPLICY CAFES ESPECIAIS GALEAO LTDA.","CAFÉ SUPLICY"
26352597000127,"DOG U COMERCIO E DISTRIBUIDORA DE PRODUTOS LTDA ME","DOG U"
27197888004652,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUFRY SHOPPING"
27197888016820,"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","HUDSON"
